8999999529710; CLEAR COOL SPORT MENTHOL 160ML;5;3;50%;1
8991917101541; DJARUM CHIEF 12;256;2;50%;0
5706500000114; MAK NI KERIPIK TEMPE SAGU;8;1;50%;0
899908260208; NEO HEMAFITON PASAK BUMI;20;2;50%;0
181800022; PLAKBAN COKLAT NACHI;299;2;50%;0
570656000063;2 IKAN BADER KECAP ;13;10;50%;1
8999909001923;234 DJI SAM SOE 12 + 4;5;1;50%;0
8999909000629;234 DJI SAM SOE KRETEK 12;30;1;50%;0
8999909001909;234 MAGNUM BLACK 12S;50;1;50%;0
8999918300154;A8IM MALKIS CRECER 125G;12;1;50%;0
9911200401003;ABBYS OTAK-OTAK;102;3;50%;0
8886022950538;ABC ALKALINE 9VOLT;19;2;50%;0
8886022971298;ABC ALKALINE AA 2S;39;2;50%;0
8886022971328;ABC ALKALINE AA ISI 4;23;2;50%;0
8886022941512;ABC ALKALINE AAA 2S;70;1;50%;0
8886022941529;ABC ALKALINE AAA 4S;10;1;50%;0
8886022910266;ABC BATERAI BIRU BESAR R20 2S;60;23;50%;0
8886022930240;ABC BATERAI BIRU R6S AA 4S;153;7;50%;0
8886022930158;ABC BATERAI SPESIAL R6H 4S;19;2;50%;0
8994907000886;ABC BUMBU PEDAS AYAM GORENG 23G;19;4;50%;0
8992388121038;ABC CUP AYAM BAWANG 60G;17;1;50%;0
8992388121090;ABC CUP BASO SAPI 60G;11;2;50%;0
8992388112654;ABC CUP GORENG AYAM JAMUR 80G;7;1;50%;0
8992388112678;ABC CUP GORENG AYAM PEDAS LIMAU 80G;13;4;50%;0
8992388121021;ABC CUP KARI AYAM 60G;18;2;50%;0
8992388121045;ABC CUP SOTO AYAM 60G;6;1;50%;0
8991002122000;ABC EXO CHOCOMALT 230ML;40;2;50%;0
8991002122017;ABC EXO MILK COFFE 230ML;34;2;50%;0
711844115057;ABC KECAP ASIN 133ML;15;1;50%;0
711844110083;ABC KECAP MANIS BTL 275ML;7;1;50%;0
7118441101378;ABC KECAP MANIS REF 520ML;6;1;50%;0
711844110144;ABC KECAP MANIS REFF 225ML ;17;1;50%;0
711844110182;ABC KECAP MANIS REFF 70ML ;94;1;50%;0
711844110113;ABC KECAP MNS 135ML;49;17;50%;0
711844110762;ABC KECAP XTRA PEDAS 135ML;18;1;50%;0
8991002101807;ABC KOPI MIX 5X25GR;19;2;50%;0
8991002101630;ABC KOPI SUSU 5 X 33G;20;3;50%;0
8991002101746;ABC MOCA 10 X 27G;5;7;50%;1
8994907000909;ABC NASI GORENG;17;1;50%;0
8991002101869;ABC NOW KOPI SUSU 10S;9;32;50%;1
8991002101265;ABC PLUS GULA 10S;33;14;50%;0
711844120037;ABC SAMBAL ASLI 135ML;41;13;50%;0
711844120013;ABC SAMBAL ASLI 335ML;7;1;50%;0
711844120549;ABC SAMBAL ASLI REFF 80G;50;6;50%;0
711844120167;ABC SAMBAL AYAM GORENG 135ML;4;44;50%;1
711844120341;ABC SAMBAL EXTRA PDS 22 X 9G (UNUSED);10;1;50%;0
711844120440;ABC SAMBAL EXTRA PDS 275ML;4;63;50%;1
711844120556;ABC SAMBAL EXTRA PDS 80G;50;2;50%;0
711844120082;ABC SAMBAL EXTRA PEDAS 135ML;38;2;50%;0
711844120075;ABC SAMBAL EXTRA PEDAS 335ML;7;3;50%;0
711844120396;ABC SAMBAL TERASI 200G;7;2;50%;0
ABC SAMBAL;ABC SAMBAL TERASI 23 GR;20;1;50%;0
711844130111;ABC SAOS TOMAT 135ML;21;11;50%;1
711844130319;ABC SAOS TOMAT 22 X 9G (UNUSED);7;1;50%;0
711844130128;ABC SAOS TOMAT 275ML;7;3;50%;0
711844130012;ABC SAOS TOMAT 335ML;6;1;50%;0
711844330108;ABC SARDINES CHILI 155GR;5;3;50%;1
711844330115;ABC SARDINES CHILI 425GR;5;9;50%;1
711844162402;ABC SARI KACANG HIJAU 200ML;56;1;50%;0
711844162419;ABC SARI KACANG HIJAU 250ML;93;1;50%;0
711844140059;ABC SAUS TIRAM 135ML;7;1;50%;0
8992388112401;ABC SELERA PEDAS GORENG AYAM LIMAU 80G;157;3;50%;0
711844150034;ABC SQUASH LYCHEE 580ML;7;1;50%;0
711844150003;ABC SQUASH ORANGE 580ML;7;1;50%;0
8886022941048;ABC SUPER POWER 4B;44;14;50%;0
8886022950958;ABC SUPER POWER 6F22;15;7;50%;0
711844154506;ABC SYRUP SPECIAL CCPDN 585ML;7;1;50%;0
